,Period,Height,Direction,Date
0,8,2.9,ENE,2018-02-01 12:00:00
1,9,3.9,ENE,2018-02-02 00:00:00
2,9,2.8,ENE,2018-02-02 12:00:00
3,9,2.7,ENE,2018-02-03 00:00:00
4,10,1.8,ENE,2018-02-03 12:00:00
5,10,2.3,ENE,2018-02-04 00:00:00
6,10,2.5,E,2018-02-04 12:00:00
7,10,1.8,ENE,2018-02-05 00:00:00
8,10,2.1,SE,2018-02-05 12:00:00
9,11,2.1,ENE,2018-02-06 00:00:00
10,11,1.8,ESE,2018-02-06 12:00:00
11,12,1.7,ENE,2018-02-07 00:00:00
12,11,1.2,ENE,2018-02-07 12:00:00
13,11,1.1,NE,2018-02-08 00:00:00
14,9,1.1,NNE,2018-02-08 12:00:00
15,7,0.9,NE,2018-02-09 00:00:00
16,6,0.7,ENE,2018-02-09 12:00:00
17,6,1.0,SSW,2018-02-10 00:00:00
18,6,1.6,SSW,2018-02-10 12:00:00
19,8,2.3,S,2018-02-11 00:00:00
20,9,2.5,SSW,2018-02-11 12:00:00
21,9,2.0,SSW,2018-02-12 00:00:00
22,8,1.8,SW,2018-02-12 12:00:00
23,8,1.3,SW,2018-02-13 00:00:00
24,8,1.4,SW,2018-02-13 12:00:00
25,9,0.9,SW,2018-02-14 00:00:00
26,7,2.5,SW,2018-02-14 12:00:00
27,9,2.1,SSW,2018-02-15 00:00:00
28,6,2.1,ESE,2018-02-15 12:00:00
29,7,1.7,ENE,2018-02-16 00:00:00
30,7,1.5,E,2018-02-16 12:00:00
31,7,1.2,ESE,2018-02-17 00:00:00
32,8,2.5,W,2018-02-17 12:00:00
33,8,1.9,E,2018-02-18 00:00:00
34,10,1.4,NE,2018-02-18 12:00:00
35,10,1.5,NE,2018-02-19 00:00:00
36,11,1.5,NE,2018-02-19 12:00:00
37,11,1.7,NE,2018-02-20 00:00:00
38,11,1.6,ENE,2018-02-20 12:00:00
39,10,2.0,ENE,2018-02-21 00:00:00
40,7,1.6,ENE,2018-02-21 12:00:00
41,7,2.1,E,2018-02-22 00:00:00
42,8,2.5,E,2018-02-22 12:00:00
43,8,1.7,E,2018-02-23 00:00:00
44,9,1.5,E,2018-02-23 12:00:00
45,9,1.1,E,2018-02-24 00:00:00
46,9,1.8,ESE,2018-02-24 12:00:00
47,7,2.1,ENE,2018-02-25 00:00:00
48,8,1.9,E,2018-02-25 12:00:00
49,7,2.5,ENE,2018-02-26 00:00:00
50,8,2.2,ENE,2018-02-26 12:00:00
51,9,1.7,ENE,2018-02-27 00:00:00
52,9,1.6,E,2018-02-27 12:00:00
53,7,1.3,ENE,2018-02-28 00:00:00
54,6,1.9,E,2018-02-28 12:00:00
55,9,5.2,S,2018-03-01 00:00:00
56,11,4.8,SSW,2018-03-01 12:00:00
57,10,2.6,S,2018-03-02 00:00:00
58,9,2.0,SSE,2018-03-02 12:00:00
59,12,1.2,ENE,2018-03-03 00:00:00
60,11,1.5,E,2018-03-03 12:00:00
61,6,1.5,SSE,2018-03-04 00:00:00
62,6,1.4,S,2018-03-04 12:00:00
63,7,2.0,S,2018-03-05 00:00:00
64,9,4.2,S,2018-03-05 12:00:00
65,9,3.9,ENE,2018-03-06 00:00:00
66,9,3.7,ENE,2018-03-06 12:00:00
67,9,2.9,ENE,2018-03-07 00:00:00
68,9,2.9,E,2018-03-07 12:00:00
69,9,2.9,E,2018-03-08 00:00:00
70,9,3.7,SE,2018-03-08 12:00:00
71,9,4.6,SSE,2018-03-09 00:00:00
72,9,3.1,ESE,2018-03-09 12:00:00
73,9,3.2,ENE,2018-03-10 00:00:00
74,9,2.4,ENE,2018-03-10 12:00:00
75,9,1.9,E,2018-03-11 00:00:00
76,10,2.0,E,2018-03-11 12:00:00
77,10,1.8,ENE,2018-03-12 00:00:00
78,10,1.6,E,2018-03-12 12:00:00
79,9,1.4,E,2018-03-13 00:00:00
80,11,1.8,SE,2018-03-13 12:00:00
81,7,1.5,S,2018-03-14 00:00:00
82,6,1.3,S,2018-03-14 12:00:00
83,6,1.5,SSE,2018-03-15 00:00:00
84,7,2.1,SSW,2018-03-15 12:00:00
85,8,2.5,S,2018-03-16 00:00:00
86,8,3.2,NE,2018-03-16 12:00:00
87,9,3.2,ENE,2018-03-17 00:00:00
88,9,1.8,ENE,2018-03-17 12:00:00
89,8,1.4,E,2018-03-18 00:00:00
90,8,1.6,SE,2018-03-18 12:00:00
91,6,1.8,SSE,2018-03-19 00:00:00
92,10,1.6,SE,2018-03-19 12:00:00
93,7,2.8,ENE,2018-03-20 00:00:00
94,9,4.1,ENE,2018-03-20 12:00:00
95,9,4.0,ENE,2018-03-21 00:00:00
96,9,4.9,E,2018-03-21 12:00:00
97,10,4.0,E,2018-03-22 00:00:00
98,10,3.5,S,2018-03-22 12:00:00
99,9,2.6,E,2018-03-23 00:00:00
100,10,2.3,NE,2018-03-23 12:00:00
101,11,2.2,ENE,2018-03-24 00:00:00
102,10,1.8,ENE,2018-03-24 12:00:00
103,10,1.5,ENE,2018-03-25 00:00:00
104,10,1.5,E,2018-03-25 12:00:00
105,9,1.6,ESE,2018-03-26 00:00:00
106,6,1.3,S,2018-03-26 12:00:00
107,12,0.9,ESE,2018-03-27 00:00:00
108,11,1.0,SE,2018-03-27 12:00:00
109,6,1.0,SSE,2018-03-28 00:00:00
110,6,0.9,S,2018-03-28 12:00:00
111,9,1.0,SSE,2018-03-29 00:00:00
112,6,1.2,S,2018-03-29 12:00:00
113,7,2.8,NE,2018-03-30 00:00:00
114,9,2.3,ENE,2018-03-30 12:00:00
115,9,1.4,ENE,2018-03-31 00:00:00
116,7,1.1,ESE,2018-03-31 12:00:00
117,5,1.3,SSE,2018-04-01 00:00:00
118,6,1.6,S,2018-04-01 12:00:00
119,6,1.4,SSE,2018-04-02 00:00:00
120,12,1.4,E,2018-04-02 12:00:00
121,12,1.5,E,2018-04-03 00:00:00
122,11,1.7,E,2018-04-03 12:00:00
123,11,1.7,ESE,2018-04-04 00:00:00
124,7,2.9,SSW,2018-04-04 12:00:00
125,8,2.6,ENE,2018-04-05 00:00:00
126,7,2.0,E,2018-04-05 12:00:00
127,6,2.1,SE,2018-04-06 00:00:00
128,8,3.4,S,2018-04-06 12:00:00
129,9,3.5,S,2018-04-07 00:00:00
130,9,3.5,SSW,2018-04-07 12:00:00
131,9,2.1,SSW,2018-04-08 00:00:00
132,8,1.4,SSW,2018-04-08 12:00:00
133,7,1.0,SSW,2018-04-09 00:00:00
134,7,2.1,SSW,2018-04-09 12:00:00
