ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
A, 1,00, 2,  0.3, 2
A, 1,12, 7,  0.4, 2
A, 2,00, 7,  0.4, 2
A, 2,12, 7,  0.3, 2
A, 3,00, 6,  0.4, 1
A, 3,12, 5,  0.6,16
A, 4,00, 6,  0.4, 1
A, 4,12, 6,  0.5, 3
A, 5,00, 4,  0.5, 8
A, 5,12, 2,  0.2, 3
A, 6,00, 2,  0.3, 2
A, 6,12, 2,  0.1, 3
A, 7,00, 2,  0.2, 2
A, 7,12, 5,  0.6, 4
A, 8,00, 5,  0.8, 3
A, 8,12, 5,  0.7, 4
A, 9,00, 5,  0.9, 5
A, 9,12, 5,  0.8, 3
A,10,00, 6,  0.8, 3
A,10,12, 7,  0.8, 2
A,11,00, 7,  0.7, 2
A,11,12, 7,  0.9, 3
A,12,00, 7,  0.9, 3
A,12,12, 8,  0.6, 2
A,13,00, 6,  1.1, 1
A,13,12, 7,  1.2, 2
A,14,00, 7,  0.6, 2
A,14,12, 4,  0.7, 5
A,15,00, 4,  0.4, 7
A,15,12, 4,  0.8, 7
A,16,00, 5,  1.1, 7
A,16,12, 5,  1.5, 5
A,17,00, 7,  1.8, 4
A,17,12, 7,  1.5, 3
A,18,00, 8,  1.0, 2
A,18,12, 9,  1.4, 2
A,19,00, 9,  1.1, 2
A,19,12, 9,  1.0, 3
A,20,00, 9,  1.0, 4
A,20,12, 4,  0.7, 5
A,21,00, 4,  0.5, 4
A,21,12, 4,  0.9, 4
A,22,00, 4,  0.7, 4
A,22,12, 4,  0.8, 5
A,23,00, 4,  0.8, 5
A,23,12, 6,  1.4, 5
A,24,00, 7,  1.3, 4
A,24,12, 8,  0.9, 3
A,25,00, 8,  1.2, 2
A,25,12, 8,  1.3, 2
A,26,00, 9,  1.0, 2
A,26,12, 9,  0.8, 3
A,27,00, 9,  0.6, 3
A,27,12, 8,  0.5, 3
A,28,00, 4,  0.6, 5
A,28,12, 4,  0.5, 6
A,29,00, 5,  0.8, 3
A,29,12, 6,  0.6, 3
A,30,00, 6,  0.7, 3
A,30,12, 4,  0.6, 6
A,31,00, 4,  0.6, 7
A,31,12, 4,  0.4, 8
B, 1,00, 6,  0.8,10
B, 1,12, 6,  0.8,10
B, 2,00, 7,  0.6, 9
B, 2,12, 5,  0.9, 9
B, 3,00,15,  0.5, 8
B, 3,12,13,  0.6, 7
B, 4,00,13,  0.7, 7
B, 4,12,12,  0.9, 7
B, 5,00, 9,  0.9, 7
B, 5,12,12,  1.4, 8
B, 6,00,11,  1.2, 8
B, 6,12,10,  1.2, 8
B, 7,00, 9,  1.2, 8
B, 7,12, 9,  1.1, 8
B, 8,00,10,  0.9, 8
B, 8,12,10,  1.2, 8
B, 9,00, 6,  2.0, 7
B, 9,12, 8,  2.8, 5
B,10,00,12,  2.3, 8
B,10,12,15,  2.1, 8
B,11,00,15,  2.1, 9
B,11,12,15,  1.9, 9
B,12,00,15,  2.1, 9
B,12,12,13,  2.3, 9
B,13,00,13,  1.9, 9
B,13,12,13,  2.1, 9
B,14,00,13,  1.9, 9
B,14,12,12,  1.9, 9
B,15,00,11,  2.1, 9
